"Turbine_ID","X.coordinate","Y.coordinate","Site.Name","No..of.Turbines","Turbine.Capacity..MW.","Capacity","Status.Summary","Old.Ref.ID","Record.Last.Updated..dd.mm.yyyy.","County","Region","Country","Planning.Application.Submitted","Under.Construction","Operational","Size","year","Censusboundaries","Airports","Aonb","Aroads","Broads","Hcoast","Localunitaryauthority","Minroads","Motorways","Nationalparks","Nnr","Powerlines","Primaryroads","Railway","Ramsar","Sacs","Spa","Sssi","Ukelevation","Urbanregions","Windspeed45","Code","Type","Council_size","Con","Lab","LD","Other","SNP_PC","Control","Majority","Con_share","Lab_share","LD_share","Oth_share","SNP_PC_share","Age_Total","Age_Mean","Age_Median","Qual_Total","Qual_Level4","Qual_PercentL4","SocialGradeTotal","SocialGradePercentAB","Tenure_Total","Tenure_Owned","PercentOwner"
"L_0001",258200,650100,"Over Enoch Farm",5,1.3,6.5,"Refused/Abandoned","N00187W","06/12/2012","Strathclyde","Scotland","Scotland","08/05/2003",NA,NA,"Large",2003,"S01001670",17.87,37.65,5.72,1.95,139.67,"S12000011",0.01,6.92,35.33,13.8,2.05,3.26,4.37,21.45,9.31,14.2,6.84,169,1.44,6.5,8013,12,20,7,8,3,2,0,"NOC",11,35,40,15,10,0,639,40,42,492,180,37,371,33.2,250,225,90
"L_0002",258500,649500,"Ardoch Farm (East Renfrewshire)",3,1.3,3.9,"Refused/Abandoned","N00188W","02/12/2011","Strathclyde","Scotland","Scotland","15/01/2003",NA,NA,"Large",2003,"S01001670",18.53,38.32,6.18,2.62,139.01,"S12000011",0.42,7.5,36,13.63,2.49,3.89,4.88,22.12,9.08,13.56,7.46,193,2.11,6.9,8013,12,20,7,8,3,2,0,"NOC",11,35,40,15,10,0,639,40,42,492,180,37,371,33.2,250,225,90
"L_0003",444854,306031,"Stonehaven Wind Turbine",1,1.5,1.5,"Refused/Abandoned","B1271","26/02/2016","Leicestershire","East Midlands","England","14/04/2014",NA,NA,"Large",2014,"E01025875",20.18,38.79,3.02,0.15,130.28,"E07000132",0.57,4.51,50.11,8.72,0.49,5.97,1.85,42.76,10.72,42.76,3.86,146,1.63,6.7,2404,1,34,14,1,19,0,NA,"LD",18,41.1764705882353,2.94117647058824,55.8823529411765,0,NA,1518,41.7,42,1232,192,16,444,12.6,658,404,61
"L_0004",456000,524000,"Tees Wind North",18,2.5,45,"Refused/Abandoned","N00073W","29/06/2011","Cleveland","North East","England","16/12/2001",NA,NA,"Large",2001,"E01012107",22.11,40.82,1.35,4.4,11,"E06000003",0.57,24.4,9.09,2.78,0.77,3.05,0.53,2.24,11.38,2.25,1.89,5,0.77,6.7,722,11,59,14,31,11,3,NA,"Lab",30,23.728813559322,52.5423728813559,18.6440677966102,5.08474576271187,NA,1404,42.2,43,1145,94,8,415,5.8,666,279,42
"L_0005",358734,392095,"Causeway Bridges Wind Farm",2,2,4,"Refused/Abandoned","EN00557","03/07/2014","Cheshire","North West","England","28/04/2008",NA,NA,"Large",2008,"E01012469",18.26,45.84,0.95,3.25,135.26,"E06000007",0.29,0.5,37.18,16.72,0.27,1.79,0.72,11.72,7.6,11.72,4.15,12,0.8,6,628,11,57,7,22,28,0,NA,"NOC",29,12.280701754386,38.5964912280702,49.1228070175439,0,NA,1546,41.9,42,1291,271,21,467,16.7,624,513,82
"L_0006",132947,913350,"Eishken (Muaitheabhal) Wind Farm (East Extension)",6,3.6,21.6,"Refused/Abandoned","AA564","16/12/2014","Western Isles","Scotland","Scotland","05/08/2009",NA,NA,"Large",2009,"S01002350",23.68,6.44,8.16,4.3,368.35,"S12000013",0.3,258.47,167.54,69.06,8.33,49.65,92.99,8.78,10.97,8.77,13.28,55,1.32,7,8032,12,31,0,2,0,25,4,"Ind",16,0,6.45161290322581,0,80.6451612903226,12.9032258064516,918,45.2,48,761,215,28,548,14.4,433,359,83
"L_0007",377538,339757,"Maer Hills Wind Farm",4,2,8,"Refused/Abandoned","EN00592","13/09/2011","Staffordshire","West Midlands","England","12/06/2008",NA,NA,"Large",2008,"E01029570",21.43,26.06,0.94,4.23,177.06,"E07000195",0.79,4.82,28.63,12.82,3.86,0.77,2,8.27,12.73,31.66,1.59,188,1,6.7,3404,1,60,25,12,19,4,NA,"NOC",31,41.6666666666667,20,31.6666666666667,6.66666666666667,NA,2468,46.6,50,2073,784,38,641,40.2,1035,882,85
"L_0008",632000,261000,"Parham Airfield (wind)",6,2.3,13.8,"Refused/Abandoned","N00374W","01/07/2011","Suffolk","Eastern","England","01/03/2005",NA,NA,"Large",2005,"E01030176",7.64,7.09,5.15,1.6,7.93,"E07000205",0.48,83.28,28.36,15.47,2.26,2.76,4.35,8.2,8.2,6.51,2.8,41,0.95,6.3,3506,1,55,42,2,11,0,NA,"Con",28,76.3636363636364,3.63636363636364,20,0,NA,1977,45.8,49,1647,614,37,558,34.6,852,588,69
"L_0010",362249,1021849,"Bu Wind Farm Repowering",3,0.85,2.6,"Refused/Abandoned","IF1119","25/11/2013","Orkney Islands","Scotland","Scotland","06/11/2012",NA,NA,"Large",2012,"S01004969",8.19,29.66,18.33,1.45,366.13,"S12000023",3.8,303.72,193.61,88.25,73.43,73.24,69.56,16.14,16.14,6.83,5.3,32,1.25,8.8,8030,12,21,0,0,0,21,0,"Ind",11,0,0,0,100,0,919,46.3,51,754,201,27,499,16,425,333,78
"L_0011",444250,84250,"Cheverton Down",2,0.6,1.2,"Refused/Abandoned","N00133W","05/12/2008","Isle of Wight","South East","England","31/05/2001",NA,NA,"Large",2001,"E01017297",14.03,0,2.91,1.57,2.39,"E06000046",1.62,25.82,12.63,6,8.07,24.25,11.74,6,2.2,6,1.72,168,1.54,8.1,2121,11,48,12,5,19,12,NA,"NOC",25,25,10.4166666666667,39.5833333333333,25,NA,1437,44.8,47,1190,342,29,388,22.9,606,473,78
"L_0012",496525,425211,"Melton Waste Park",2,2.5,5,"Refused/Abandoned","C1436","29/04/2016","Humberside","Yorkshire and Humber","England","14/06/2013",NA,NA,"Large",2013,"E01013090",19.84,28.68,4.01,2,43.53,"E06000011",0.42,11.02,57.97,4.59,4.98,1.36,0.62,0.59,0.58,0.58,0.58,2,1.37,6.4,2021,11,67,53,6,3,5,NA,"Con",34,79.1044776119403,8.95522388059701,4.47761194029851,7.46268656716418,NA,1414,43.9,45,1176,429,36,368,35.9,587,505,86
"L_0013",532606,307038,"Nutsgrove Wind Farm",7,2,14.4,"Refused/Abandoned","A0086","01/04/2016","Cambridgeshire","Eastern","England","07/07/2006",NA,NA,"Large",2006,"E01015618",29.77,32.31,7.5,1.35,52.21,"E06000031",0.08,22.57,90.01,20.6,1.9,2.81,10.24,5.92,6.71,5.91,5.91,0,3.22,6.2,525,11,57,34,4,5,14,NA,"Con",29,59.6491228070175,7.01754385964912,8.7719298245614,24.5614035087719,NA,1084,42.1,44,879,163,19,315,13,451,307,68
"L_0014",126600,913600,"Eishken (Muaitheabhal) Wind Farm",33,3.6,118.8,"Refused/Abandoned","N00260W","16/12/2014","Western Isles","Scotland","Scotland","01/12/2004",NA,NA,"Large",2004,"S01002350",27.43,3.7,4.36,5.68,373.11,"S12000013",3.51,262.28,172.52,74.46,4.89,51.06,96.52,6.78,8.04,6.79,9.79,365,3.69,10.2,8032,12,31,0,4,0,24,3,"Ind",16,0,12.9032258064516,0,77.4193548387097,9.67741935483871,918,45.2,48,761,215,28,548,14.4,433,359,83
"L_0015",116360,906760,"North Harris Community Trust",3,0.85,2.5,"Refused/Abandoned","EN00441","06/06/2011","Western Isles","Scotland","Scotland","01/07/2006",NA,NA,"Large",2006,"S01002349",39.54,0,1.36,3.88,376.04,"S12000013",2.53,262.87,175.95,67.51,1.33,48.28,96.77,6.16,3.03,3.03,3.03,377,3.02,12.2,8032,12,31,0,4,0,24,3,"Ind",16,0,12.9032258064516,0,77.4193548387097,9.67741935483871,980,48.4,51,844,195,23,553,15.6,476,328,69
"L_0016",386670,398897,"City of Manchester Stadium",1,2,2,"Refused/Abandoned","EN00218","06/11/2008","Greater Manchester","North West","England","14/09/2005",NA,NA,"Large",2005,"E01033669",15.56,37.89,0.46,1.5,144.93,"E08000003",1.85,2.21,14.19,18.63,0.46,0.39,0.04,18.72,3.14,14.02,3.14,58,0,5.9,4803,5,96,0,56,39,1,NA,"Lab",49,0,58.3333333333333,40.625,1.04166666666667,NA,1397,35.4,34,1116,174,16,560,8.6,677,153,23
"L_0017",423215,427292,"Mars Petcare",1,2,2,"Refused/Abandoned","A0097","25/03/2015","West Yorkshire","Yorkshire and Humber","England","02/12/2009",NA,NA,"Large",2009,"E01011050",13.89,19.13,0.09,0.84,101.66,"E08000034",0.09,0.54,21.86,40.92,0.07,0.66,2.59,46.94,12.12,17.28,7.8,163,0,7.2,5303,5,69,22,22,19,6,NA,"NOC",35,31.8840579710145,31.8840579710145,27.536231884058,8.69565217391304,NA,1520,42.5,45,1256,276,22,441,21.3,620,549,89
"L_0018",2e+05,70000,"St. Breock Re-Power",11,0.94,10.4,"Refused/Abandoned","N00036W","06/12/2012","Cornwall","South West","England","15/06/2002",NA,NA,"Large",2002,"E01018924",13.83,3.31,1.65,3,8.63,"E06000052",0.06,94.68,47.16,8.69,2.07,3.08,4.72,95.85,0.72,37.34,0.72,77,0.02,6.8,800,2,79,9,9,36,25,NA,"NOC",40,11.3924050632911,11.3924050632911,45.5696202531646,31.6455696202532,NA,1140,43.9,46,955,261,27,302,16.9,467,323,69
"L_0019",189020,66439,"Denzell Downs",5,2,10,"Refused/Abandoned","A0444","17/07/2013","Cornwall","South West","England","28/02/2011",NA,NA,"Large",2011,"E01019060",2.62,3.81,2.85,2.82,9.53,"E06000052",0.3,106.14,58.23,7.71,7.55,3.27,6.71,106.96,6.98,46.95,3.17,90,0.95,7.6,827,11,123,48,0,39,36,NA,"NOC",62,39.0243902439024,0,31.7073170731707,29.2682926829268,NA,1659,47.6,50,1434,406,28,404,23,629,467,74
